campaign,country,forex_to_sub,forex_to_aud
2021,au,1.0,1.0
2021,at,1.0,1.61741
2021,be,1.0,1.61741
2021,ca,1.0,1.086915
2021,cz,0.0381069,1.61741
2021,dk,0.1310972,1.61741
2021,fi,1.0,1.61741
2021,fr,1.0,1.61741
2021,de,1.0,1.61741
2021,hk,1.0,0.17597
2021,ie,1.0,1.61741
2021,it,1.0,1.61741
2021,nl,1.0,1.61741
2021,nz,1.0,0.96002
2021,no,0.0953349,1.61741
2021,ex,1.0,1.370238
2021,sg,1.0,1.019441
2021,za,1.0,0.0934231
2021,es,1.0,1.61741
2021,se,0.0958171,1.61741
2021,ch,0.9009715,1.61741
2021,gb,1.0,1.88642
2021,us,1.0,1.370238
2020,au,1.0,1.0
2020,at,1.0,1.65915
2020,be,1.0,1.65915
2020,ca,1.0,1.068108
2020,cz,0.0367161,1.65915
2020,dk,0.134278,1.65915
2020,fi,1.0,1.65915
2020,fr,1.0,1.65915
2020,de,1.0,1.65915
2020,hk,1.0,0.183717
2020,ie,1.0,1.65915
2020,it,1.0,1.65915
2020,nl,1.0,1.65915
2020,nz,1.0,0.941044
2020,no,0.0900276,1.65915
2020,ex,1.0,1.424674
2020,sg,1.0,1.042329
2020,za,1.0,0.087524
2020,es,1.0,1.65915
2020,se,0.0968333,1.65915
2020,ch,0.934361,1.65915
2020,gb,1.0,1.84383
2020,us,1.0,1.424674
2019,au,1.0,1.0
2019,at,1.0,1.61871
2019,be,1.0,1.61871
2019,ca,1.0,1.105168
2019,cz,0.0392054,1.61871
2019,dk,0.133859,1.61871
2019,fi,1.0,1.61871
2019,fr,1.0,1.61871
2019,de,1.0,1.61871
2019,hk,1.0,0.185725
2019,ie,1.0,1.61871
2019,it,1.0,1.61871
2019,nl,1.0,1.61871
2019,nz,1.0,0.925737
2019,no,0.0975667,1.61871
2019,ex,1.0,1.45606
2019,sg,1.0,1.068547
2019,za,1.0,0.0971185
2019,es,1.0,1.61871
2019,se,0.0930267,1.61871
2019,ch,0.906396,1.61871
2019,gb,1.0,1.87338
2019,us,1.0,1.45606
2018,au,1.0,1.0
2018,at,1.0,1.5910771
2018,be,1.0,1.5910771
2018,ca,1.0,1.040563
2018,cz,0.03716494,1.5910771
2018,dk,0.128656,1.5910771
2018,fi,1.0,1.5910771
2018,fr,1.0,1.5910771
2018,de,1.0,1.5910771
2018,hk,1.0,0.165164
2018,ie,1.0,1.5910771
2018,it,1.0,1.5910771
2018,nl,1.0,1.5910771
2018,nz,1.0,0.9261316
2018,no,0.099921,1.5910771
2018,ex,1.0,1.3261604
2018,sg,1.0,0.9535938
2018,za,1.0,0.0971397
2018,es,1.0,1.5910771
2018,se,0.098252,1.5910771
2018,ch,0.867928,1.5910771
2018,gb,1.0,1.8035509
2018,us,1.0,1.3261604
2017,au,1.0,1.0
2017,at,1.0,1.4660001
2017,be,1.0,1.4660001
2017,ca,1.0,1.0237
2017,cz,0.03699429,1.4660001
2017,dk,0.13438332,1.4660001
2017,fi,1.0,1.4660001
2017,fr,1.0,1.4660001
2017,de,1.0,1.4660001
2017,hk,1.0,0.1716416
2017,ie,1.0,1.4660001
2017,it,1.0,1.4660001
2017,nl,1.0,1.4660001
2017,nz,1.0,0.9541985
2017,no,0.10892653,1.4660001
2017,ex,1.0,1.3563999
2017,sg,1.0,0.9556906
2017,za,1.0,0.0998593
2017,es,1.0,1.4660001
2017,se,0.10447356,1.4660001
2017,ch,0.92242413,1.4660001
2017,gb,1.0,1.6584999
2017,us,1.0,1.3563999
2022,au,1.0,1.0
2022,at,1.0,1.61741
2022,be,1.0,1.61741
2022,ca,1.0,1.086915
2022,cz,0.0381069,1.61741
2022,dk,0.1310972,1.61741
2022,fi,1.0,1.61741
2022,fr,1.0,1.61741
2022,de,1.0,1.61741
2022,hk,1.0,0.17597
2022,ie,1.0,1.61741
2022,it,1.0,1.61741
2022,nl,1.0,1.61741
2022,nz,1.0,0.96002
2022,no,0.0953349,1.61741
2022,ex,1.0,1.370238
2022,sg,1.0,1.019441
2022,za,1.0,0.0934231
2022,es,1.0,1.61741
2022,se,0.0958171,1.61741
2022,ch,0.9009715,1.61741
2022,gb,1.0,1.88642
2022,us,1.0,1.370238
